unidade,n_registros,n_valores,mediana_valor,p25_valor,p75_valor
metro quadrado,197540,195593,2000.0,1000.0,8000.0
unidade,145601,144544,980.0,80.0,5002.43
quilowatt,46174,45983,1500.0,1000.0,4569.5
quilowatt(s) pico,39751,39715,1000.0,600.0,2000.0
hectare,17259,17071,2000.0,1000.0,5000.0
metro,12765,12479,15000.0,2200.0,989322.88
metro cúbico,10638,10507,326789.0,5000.0,4016484.12
quilovolt-ampére,10534,10514,5000.0,1000.0,8500.0
quilômetro,3852,2427,3635669.53,60409.0,18115495.05
dia,3179,2983,6670.0,1000.0,616828.82
ano,2722,2689,2400.0,1000.0,10005.0
hora,2480,2384,3272.3,1000.0,10757.5
hora por semana,2224,1840,7272.0,7212.0,9000.0
mes,2131,2124,58500.0,6500.0,570167.52
watt,2076,2063,1000.0,600.0,5000.0
quilovolt,1902,1887,100000.0,408.87,6711766.6
quilograma,1690,1673,150000.0,3500.0,2166934.97
tonelada refrigeração,1109,1107,15999.46,2990.4,137281.41
hora por dia,994,816,7272.0,2290.16,10302.0
tonelada,965,952,846169.87,3000.0,9558471.49
pontos,961,953,47811.88,7199.0,359893.93
volt,885,876,8000.0,1000.0,294989.83
homem hora,765,743,8000.0,3000.0,257600.0
mega-volt-ampére,659,659,2800.0,2800.0,2800.0
hora por mês,554,506,14593.21,5622.22,4381769.17
ohm,377,377,3500.0,1150.0,7800.0
quilograma-força,322,322,300.0,280.0,684.45
metros cúbicos por hora,268,257,51952.34,3000.0,710294.54
ampére,247,247,2275.0,1000.0,7600.0
litro,194,191,2100.0,400.0,7272.0
