atividade_texto_trunc70,n_registros
Nivel - Nao selecionado   Atividade - ESPECIFICACAO - RECEITUARIO AGRO,60378
Nivel - Execução  Atividade - Execução de Obra Técnica - EDF. DE ALVEN,10913
Nivel - Execução  Atividade - Execução de Obra Técnica - ESTRUTURA DE ,8109
Nivel - Execução  Atividade - Execução de Instalação - SISTEMA DE MICR,7715
Nivel - Execução  Atividade - Execução de instalação - de microgeração,6842
Nivel - Execução  Atividade - Projeto - ESTRUTURA DE CONCRETO ARMADO,6248
Nivel - Execução  Atividade - Projeto - INST.ELETR.EM BAIXA TENSAO P/F,6237
Nivel - Execução  Atividade - Execução de Obra Técnica - INST.ELETR.EM,6024
Nivel - Execução  Atividade - Execução de Instalação - SISTEMA DE GERA,5524
Nivel - Execução  Atividade - Projeto - de microgeração distribuída,5413
Nivel - Execução  Atividade - Execução de Obra Técnica - REDE HIDRO-SA,5359
Nivel - Execução  Atividade - Projeto - SISTEMA DE GERACAO DE ENERGIA ,5269
Nivel - Execução  Atividade - Projeto - REDE HIDRO-SANITARIA,5154
Nivel - Execução  Atividade - Projeto - EDF. DE ALVENARIA PARA FINS RE,4882
Nivel - Execução  Atividade - Projeto - SISTEMA DE MICROGERAÇÃO FOTOVO,4854
Nivel - Execução  Atividade - Execução de instalação - solar,4520
Nivel - Nao selecionado   Atividade - ESPECIFICACAO - de receituário a,4197
Nivel - Elaboração  Atividade - Projeto - de microgeração distribuída,3656
Nivel - Execução  Atividade - Execução de Obra Técnica - PAVIMENTAÇÃO ,3224
Nivel - Execução  Atividade - Projeto - solar,3132
Nivel - Elaboração  Atividade - Projeto - SISTEMA DE MICROGERAÇÃO FOTO,2974
Nivel - Elaboração  Atividade - Projeto - solar,2750
Nivel - Execução  Atividade - Execução de Obra Técnica - SERVIÇOS AFIN,2683
Nivel - Execução  Atividade - Execução de obra - de alvenaria,2494
Nivel - Elaboração  Atividade - Projeto - INST.ELETR.EM BAIXA TENSAO P,2130
Nivel - Execução  Atividade - Projeto - SISTEMA DE MICROGERAÇÃO SOLAR ,2068
Nivel - Execução  Atividade - Execução de obra - de estrutura de concr,2041
Nivel - Elaboração  Atividade - Projeto - ESTRUTURA DE CONCRETO ARMADO,2015
Nivel - Execução  Atividade - Execução de Cadastramento - EDF. DE ALVE,1932
Nivel - Execução  Atividade - Projeto - PROTEÇÃO CONTRA INCÊNDIO E PÂN,1931
Nivel - Elaboração  Atividade - Projeto - EDF. DE ALVENARIA PARA FINS ,1837
Nivel - Execução  Atividade - Execução de Instalação - INSTALAÇÃO DE E,1837
Nivel - Execução  Atividade - Execução de Instalação - PROTEÇÃO CONTRA,1827
Nivel - Execução  Atividade - Execução de obra - de ligação individual,1712
Nivel - Elaboração  Atividade - Projeto - SISTEMA DE MICROGERAÇÃO SOLA,1690
Nivel - Execução  Atividade - Execução de Serviço Técnico - TOPOGRAFIA,1655
Nivel - Execução  Atividade - Execução de Obra Técnica - TERRAPLENAGEM,1640
Nivel - Execução  Atividade - Execução de Obra Técnica - LAJES PRE-FAB,1538
Nivel - Execução  Atividade - Execução de Obra Técnica - SISTEMA DE MI,1498
Nivel - Execução  Atividade - Execução de obra - para fins residenciai,1489
